LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,ParameterList
1,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:01.445,25746,INFO,nova.osapi_compute.wsgi.server,req-5a2050e7-b381-4ae9-92d2-8b08e9f9f4c0 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1583 time: 0.1919448",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1583', '0.1919448']"
2,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:01.650,25746,INFO,nova.osapi_compute.wsgi.server,req-c26a7d54-55ab-412e-947f-421a2cb934fc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3edec1e4-9678-4a3a-a21b-a145a4ee5e61 HTTP/1.1"" status: 200 len: 1708 time: 0.2011580",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/3edec1e4-9678-4a3a-a21b-a145a4ee5e61 ', '/1.1"" ', '200', '1708', '0.2011580']"
3,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:02.007,2931,INFO,nova.virt.libvirt.driver,req-e285b551-587f-4c1d-8eba-dceb2673637f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] Creating image,1,<*> Creating image,['[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61]']
4,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:02.924,25746,INFO,nova.osapi_compute.wsgi.server,req-eb681812-78ae-4a9f-9e2a-96e505285512 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1759 time: 0.2698390",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1759', '0.2698390']"
5,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:03.166,2931,INFO,nova.compute.manager,-,[instance: 2b590f10-49fd-4ec9-ae41-19596c2f4b25] VM Stopped (Lifecycle Event),2,<*> VM <*> (Lifecycle Event),"['[instance: 2b590f10-49fd-4ec9-ae41-19596c2f4b25]', 'Stopped']"
6,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:03.201,25746,INFO,nova.osapi_compute.wsgi.server,req-050312b7-c94e-4773-9319-c330e1f3fdaa 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1759 time: 0.2721701",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1759', '0.2721701']"
7,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:04.482,25746,INFO,nova.osapi_compute.wsgi.server,req-1e8474d7-f02c-4387-87a6-683c94287696 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2753191",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2753191']"
8,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:04.747,25746,INFO,nova.osapi_compute.wsgi.server,req-47de1e9d-000c-47b6-b424-c8cbaf0048c3 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2607281",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2607281']"
9,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:06.009,25746,INFO,nova.osapi_compute.wsgi.server,req-6f641f5f-9dac-4c59-a445-b43e58482f58 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2560410",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2560410']"
10,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:06.278,25746,INFO,nova.osapi_compute.wsgi.server,req-673d3e7b-9c65-461a-a48c-66af15d4d0e7 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2658279",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2658279']"
11,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:07.549,25746,INFO,nova.osapi_compute.wsgi.server,req-2917bb4d-38bd-4ae8-8729-6dce587d46e7 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2639439",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2639439']"
12,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:07.798,25746,INFO,nova.osapi_compute.wsgi.server,req-888bb049-66b4-4802-8cdf-386c2d116c0c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2448030",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2448030']"
13,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:09.062,25746,INFO,nova.osapi_compute.wsgi.server,req-f635e889-a850-4c89-a10f-505c5a023f89 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2581480",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2581480']"
14,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:09.330,25746,INFO,nova.osapi_compute.wsgi.server,req-c7d137bb-3573-427e-876c-c861aff95551 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2636831",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2636831']"
15,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:09.660,2931,WARNING,nova.compute.manager,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"While synchronizing instance power states, found 1 instances in the database and 0 instances on the hypervisor.",3,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.","['1', '0']"
16,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:10.593,25746,INFO,nova.osapi_compute.wsgi.server,req-fd83b57c-260f-4ea7-8d3a-e4ea0a2932bc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2585728",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2585728']"
17,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:10.857,25746,INFO,nova.osapi_compute.wsgi.server,req-636a4566-1c6f-4a18-abbc-fcdca13ae23f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2585540",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2585540']"
18,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:12.121,25746,INFO,nova.osapi_compute.wsgi.server,req-3b966353-9948-4759-812d-ca5a5d8cefc3 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2589438",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2589438']"
19,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:12.395,25746,INFO,nova.osapi_compute.wsgi.server,req-fc0c20c4-061f-4cde-a985-8ab3bd19be9c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2693439",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2693439']"
20,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:13.667,25746,INFO,nova.osapi_compute.wsgi.server,req-cc2d7969-57ea-46b5-a9b5-03e0335a3563 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2663760",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2663760']"
21,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:13.929,25746,INFO,nova.osapi_compute.wsgi.server,req-001cec7f-8dae-4a44-b89e-c1fc054123da 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2572000",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2572000']"
22,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:14.913,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] VM Started (Lifecycle Event),2,<*> VM <*> (Lifecycle Event),"['[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61]', 'Started']"
23,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:14.988,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] VM Paused (Lifecycle Event),2,<*> VM <*> (Lifecycle Event),"['[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61]', 'Paused']"
24,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:15.105,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] During sync_power_state the instance has a pending task (spawning). Skip.,4,<*> During sync_power_state the instance has a pending task (spawning). Skip.,['[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61]']
25,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:15.195,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,5,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,"['0673', '71-34', '5-4', '86c4', '40623', '45b4', '/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): ']"
26,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:15.196,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",6,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage","['0673', '71-34', '5-4', '86c4', '40623', '45b4', '/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): ', '1', '0']"
27,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:15.203,25746,INFO,nova.osapi_compute.wsgi.server,req-3127022f-f330-4686-83b7-f6c8e087fc53 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2673762",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2673762']"
28,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:15.381,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,7,<*> base <*> /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,"['Active', 'files:', '489c868', '0c37', '93b76227', '91', '03908', '0e742']"
29,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:15.473,25746,INFO,nova.osapi_compute.wsgi.server,req-4fc0cc63-003d-4710-9ef3-ecccecddff08 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2675302",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2675302']"
30,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:16.900,25746,INFO,nova.osapi_compute.wsgi.server,req-94c35dc5-d1ba-437c-bd36-12e71c4e8ea5 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4216759",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.4216759']"
31,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:17.166,25746,INFO,nova.osapi_compute.wsgi.server,req-994d8d02-9b6d-4b2c-b58c-a402511587fb 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2622859",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2622859']"
32,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:18.431,25746,INFO,nova.osapi_compute.wsgi.server,req-5fac9844-fb00-48ef-8b08-6435ba526e2a 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2599440",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2599440']"
33,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:18.693,25746,INFO,nova.osapi_compute.wsgi.server,req-59e66e9d-b914-4bfd-b3ad-df27de497001 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2574270",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2574270']"
34,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:19.968,25746,INFO,nova.osapi_compute.wsgi.server,req-6b8024bd-6e56-46f4-8584-e9e60471fe69 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2694130",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2694130']"
35,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:20.236,25746,INFO,nova.osapi_compute.wsgi.server,req-085c6990-0d46-47b6-b623-bbb71d467c0c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2638462",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2638462']"
36,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:20.436,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): checking,5,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,"['0673', '71-34', '5-4', '86c4', '40623', '45b4', '/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): ']"
37,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:20.437,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,"image 0673dd71-34c5-4fbb-86c4-40623fbe45b4 at (/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): in use: on this node 1 local, 0 on other nodes sharing this instance storage",6,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage","['0673', '71-34', '5-4', '86c4', '40623', '45b4', '/var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742): ', '1', '0']"
38,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:20.621,2931,INFO,nova.virt.libvirt.imagecache,req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -,Active base files: /var/lib/nova/instances/_base/a489c868f0c37da93b76227c91bb03908ac0e742,7,<*> base <*> /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,"['Active', 'files:', '489c868', '0c37', '93b76227', '91', '03908', '0e742']"
39,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:21.613,25746,INFO,nova.osapi_compute.wsgi.server,req-1752fed8-1b93-4940-a7fc-abc4cbe6d960 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.3712389",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.3712389']"
40,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:21.875,25746,INFO,nova.osapi_compute.wsgi.server,req-414cc721-849a-4f63-88d0-2cbc53303553 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2569900",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail ', '/1.1"" ', '200', '1893', '0.2569900']"
41,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:22.564,25743,INFO,nova.api.openstack.compute.server_external_events,req-f2e0dc94-6f72-42e9-9b92-39dde4ae1618 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,Creating event network-vif-plugged:95fcdc5e-3159-4e86-968a-13a2a06e9e89 for instance 3edec1e4-9678-4a3a-a21b-a145a4ee5e61,8,Creating event <*> for instance <*>,"['network-vif-plugged:95fcdc5e-3159-4e86-968a-13a2a06e9e89', '3edec1e4-9678-4a3a-a21b-a145a4ee5e61']"
42,nova-api.log.2017-05-14_21:27:04,2017-05-14,19:39:22.570,25743,INFO,nova.osapi_compute.wsgi.server,req-f2e0dc94-6f72-42e9-9b92-39dde4ae1618 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -,"10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 200 len: 380 time: 0.0929029",0,<*> <*> <*>HTTP<*>status: <*> len: <*> time: <*>.<*>,"['10.11.10.1', '""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events ', '/1.1"" ', '200', '380', '0.0929029']"
43,nova-compute.log.2017-05-14_21:27:09,2017-05-14,19:39:22.577,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61] VM Resumed (Lifecycle Event),2,<*> VM <*> (Lifecycle Event),"['[instance: 3edec1e4-9678-4a3a-a21b-a145a4ee5e61]', 'Resumed']"
